id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(60,70]_3",-0.7824751748216847,1.7909157056857237,-0.4334859585375195,-3,62.6252505,0.1890788662969809,0.3019211337030191,St. Marys,0.491,ADFA,43,7,1,110,32,77,288.2,2016_December,94,96,11,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_4",-3.160735027156475,-0.12445564955948545,0.04350451306430519,-0.4,68.23734729,0.22267531120331951,0.32632468879668053,St. Marys,0.549,ADFA,51,1,1,162,32,129,306,2016_December,94,91,19,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_4",-0.6075727172322349,2.05183822012567,0.26417049065570974,-1.2,67.05069124,0.20349931034482752,0.30350068965517246,St. Marys,0.507,ADFA,39,2,1,99,26,72,294,2016_December,94,91,13,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_4",2.230535028180624,-0.470482574568401,-0.29482988249129316,-7,65.8045977,0.2087590987868284,0.3172409012131716,St. Marys,0.526,ADFA,23,12,9,99,14,76,379,2016_December,94,91,9,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_4",2.7988354475191697,0.8991458304868115,0.06880709551046305,-6.5,60.02971768,0.17705478180129983,0.2949452181987001,St. Marys,0.472,ADFA,23,12,10,73,13,50,318.4,2016_December,94,96,10,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_5",1.4709604476416558,-0.4287657154373541,0.4402466712040649,-0.4,60.33898305,0.20057928118393237,0.33242071881606766,St. Marys,0.533,ADFA,31,10,9,101,16,76,379.3,2016_December,94,96,15,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_5",0.5814563016869514,0.6073233144171961,0.1477510454240084,-6.4,63.83601757,0.18468632707774796,0.289313672922252,St. Marys,0.474,ADFA,33,8,6,105,19,80,307.3,2016_December,94,96,14,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_5",1.298818990460609,-1.0824352426383104,-0.07672785780567082,-5.9,66.66666667,0.19280000000000003,0.28919999999999996,St. Marys,0.482,ADFA,27,12,9,120,13,98,347.5,2016_December,94,91,14,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_6",0.8320881756818368,0.15207491043976587,-0.37045563370194445,-5.9,61.41732283,0.179590243902439,0.292409756097561,St. Marys,0.472,ADFA,37,15,7,112,21,84,297.5,2016_December,94,96,13,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_6",1.867863399669195,0.734379757942393,0.49322466530414566,-5.6,60.53683609,0.18326574172892213,0.30273425827107786,St. Marys,0.486,ADFA,30,14,6,85,14,65,311.9,2016_December,94,96,16,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_6",0.31081735469620025,0.16521976781635656,1.0464568021786893,-8.2,61.34715026,0.1901091843288375,0.3098908156711625,St. Marys,0.5,ADFA,38,11,5,109,15,89,297.2,2016_December,94,96,23,"(60,70]"
"2016_December_EPI_ADFA_(70,80]_1",0.02345204908566761,0.7699175711159637,-1.5356982976899176,-0.4,76.44628099,0.2096955503512881,0.2743044496487119,St. Marys,0.484,ADFA,37,10,4,119,34,81,341.9,2016_December,89,97,3,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_1",1.364293704728298,1.9579407559989528,-0.9956690023597836,-4,79.52755906,0.22857894736842105,0.28742105263157897,St. Marys,0.516,ADFA,27,9,4,86,24,58,295.1,2016_December,89,97,3,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_3",-1.4977588872312215,-0.00205872339908025,1.0709593363637415,-0.9,71.5210356,0.21933207547169817,0.3066679245283019,St. Marys,0.526,ADFA,52,8,5,131,26,100,299.5,2016_December,89,78,26,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_3",0.719876975574932,0.8945383421448396,0.6563734944413562,-1.7,75.45023697,0.2081383036196651,0.2758616963803349,St. Marys,0.484,ADFA,35,8,6,95,18,71,306.5,2016_December,89,97,17,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_4",1.3245903606086935,0.8307730155122998,0.839021223254631,-0.5,74.72766885,0.21597880299251876,0.28902119700748125,St. Marys,0.505,ADFA,36,11,7,85,18,60,327.3,2016_December,89,78,18,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_4",1.175417030828105,1.2687291013024606,-0.5177589817070045,-1.8,76.5743073,0.22030242510699,0.28769757489301,St. Marys,0.508,ADFA,35,12,7,92,26,59,304.1,2016_December,89,97,9,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_4",-0.5911845580196893,1.4917627871957515,0.5526995384359816,-2.5,70.32085561,0.21717111459968608,0.30882888540031395,St. Marys,0.526,ADFA,42,5,2,104,25,77,298,2016_December,89,78,17,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_5",0.5051871088403351,-0.5132956573861361,0.6676868855414012,-1,78.15491732,0.22329360039081583,0.28570639960918415,St. Marys,0.509,ADFA,35,10,8,117,15,94,320,2016_December,89,97,20,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_5",1.6670785077721113,1.5539782892029086,0.29134625550950166,-1.4,78.21401078,0.2181218142548596,0.2788781857451404,St. Marys,0.497,ADFA,29,10,4,77,17,56,317.8,2016_December,89,97,12,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_5",-2.6879349971940125,0.6001385194502715,-0.19480833144451892,-2.6,75.29411765,0.2216375838926175,0.2943624161073825,St. Marys,0.516,ADFA,54,4,2,147,37,108,293.6,2016_December,89,97,17,"(70,80]"
